"ID","NOMBRE","DATOS","CODIGO_SIC","ANIO","FECHA_CREACION"
75,"Book1_PlantillaCubrimiento.xlsx","{""ruta_archivo"": ""contratos/20260526_125604_Book1_PlantillaCubrimiento.xlsx""}","69207",2024,26-MAY-26
76,"Book1_PlantillaCubrimiento.xlsx","{""ruta_archivo"": ""contratos/20260526_125604_Book1_PlantillaCubrimiento.xlsx""}","71108",2024,26-MAY-26
77,"Book1_PlantillaCubrimiento.xlsx","{""ruta_archivo"": ""contratos/20260526_125604_Book1_PlantillaCubrimiento.xlsx""}","71621",2024,26-MAY-26
78,"Book1_PlantillaCubrimiento.xlsx","{""ruta_archivo"": ""contratos/20260526_125604_Book1_PlantillaCubrimiento.xlsx""}","77955",2024,26-MAY-26
79,"Book1_PlantillaCubrimiento.xlsx","{""ruta_archivo"": ""contratos/20260526_125604_Book1_PlantillaCubrimiento.xlsx""}","78229",2024,26-MAY-26
80,"Book1_PlantillaCubrimiento.xlsx","{""ruta_archivo"": ""contratos/20260526_125604_Book1_PlantillaCubrimiento.xlsx""}","78699",2024,26-MAY-26
81,"Book1_PlantillaCubrimiento.xlsx","{""ruta_archivo"": ""contratos/20260526_125604_Book1_PlantillaCubrimiento.xlsx""}","79667",2024,26-MAY-26
82,"Book1_PlantillaCubrimiento.xlsx","{""ruta_archivo"": ""contratos/20260526_125604_Book1_PlantillaCubrimiento.xlsx""}","79926",2024,26-MAY-26
83,"Book1_PlantillaCubrimiento.xlsx","{""ruta_archivo"": ""contratos/20260526_125604_Book1_PlantillaCubrimiento.xlsx""}","79940",2024,26-MAY-26
84,"Book1_PlantillaCubrimiento.xlsx","{""ruta_archivo"": ""contratos/20260526_125604_Book1_PlantillaCubrimiento.xlsx""}","79833",2024,26-MAY-26
85,"Book1_PlantillaCubrimiento.xlsx","{""ruta_archivo"": ""contratos/20260526_125604_Book1_PlantillaCubrimiento.xlsx""}","79881",2024,26-MAY-26
86,"Book1_PlantillaCubrimiento.xlsx","{""ruta_archivo"": ""contratos/20260526_125604_Book1_PlantillaCubrimiento.xlsx""}","79913",2024,26-MAY-26
87,"Book1_PlantillaCubrimiento.xlsx","{""ruta_archivo"": ""contratos/20260526_125604_Book1_PlantillaCubrimiento.xlsx""}","79916",2024,26-MAY-26
88,"Book1_PlantillaCubrimiento.xlsx","{""ruta_archivo"": ""contratos/20260526_125604_Book1_PlantillaCubrimiento.xlsx""}","79938",2024,26-MAY-26
89,"Book1_PlantillaCubrimiento.xlsx","{""ruta_archivo"": ""contratos/20260526_125604_Book1_PlantillaCubrimiento.xlsx""}","79349",2024,26-MAY-26
90,"Book1_PlantillaCubrimiento.xlsx","{""ruta_archivo"": ""contratos/20260526_125604_Book1_PlantillaCubrimiento.xlsx""}","85780",2024,26-MAY-26
91,"Book1_PlantillaCubrimiento.xlsx","{""ruta_archivo"": ""contratos/20260526_125604_Book1_PlantillaCubrimiento.xlsx""}","85862",2024,26-MAY-26
102,"sic_2020546.xlsx","{""ruta_archivo"": ""contratos\\20250612_123131_sic_2020546.xlsx""}","202546",2025,12-JUN-25
103,"sic_2020546.xlsx","{""ruta_archivo"": ""contratos\\20250612_123202_sic_2020546.xlsx""}","20256",2025,12-JUN-25
13,"Book1_PlantillaCubrimiento.xlsx","{""ruta_archivo"": ""contratos/20260526_125604_Book1_PlantillaCubrimiento.xlsx""}","42167",2024,26-MAY-26
17,"Book1_PlantillaCubrimiento.xlsx","{""ruta_archivo"": ""contratos/20260526_125604_Book1_PlantillaCubrimiento.xlsx""}","43201",2024,26-MAY-26
22,"Book1_PlantillaCubrimiento.xlsx","{""ruta_archivo"": ""contratos/20260526_125604_Book1_PlantillaCubrimiento.xlsx""}","43233",2024,26-MAY-26
26,"Book1_PlantillaCubrimiento.xlsx","{""ruta_archivo"": ""contratos/20260526_125604_Book1_PlantillaCubrimiento.xlsx""}","43262",2024,26-MAY-26
31,"Book1_PlantillaCubrimiento.xlsx","{""ruta_archivo"": ""contratos/20260526_125604_Book1_PlantillaCubrimiento.xlsx""}","43325",2024,26-MAY-26
35,"Book1_PlantillaCubrimiento.xlsx","{""ruta_archivo"": ""contratos/20260526_125604_Book1_PlantillaCubrimiento.xlsx""}","43346",2024,26-MAY-26
40,"Book1_PlantillaCubrimiento.xlsx","{""ruta_archivo"": ""contratos/20260526_125604_Book1_PlantillaCubrimiento.xlsx""}","45797",2024,26-MAY-26
45,"Book1_PlantillaCubrimiento.xlsx","{""ruta_archivo"": ""contratos/20260526_125604_Book1_PlantillaCubrimiento.xlsx""}","47260",2024,26-MAY-26
49,"Book1_PlantillaCubrimiento.xlsx","{""ruta_archivo"": ""contratos/20260526_125604_Book1_PlantillaCubrimiento.xlsx""}","49475",2024,26-MAY-26
54,"Book1_PlantillaCubrimiento.xlsx","{""ruta_archivo"": ""contratos/20260526_125604_Book1_PlantillaCubrimiento.xlsx""}","50658",2024,26-MAY-26
58,"Book1_PlantillaCubrimiento.xlsx","{""ruta_archivo"": ""contratos/20260526_125604_Book1_PlantillaCubrimiento.xlsx""}","51421",2024,26-MAY-26
101,"sic_20205.xlsx","{""ruta_archivo"": ""contratos\\20250612_120152_sic_20205.xlsx""}","32025",2025,12-JUN-25
