"ID","HORA_1","HORA_2","HORA_3","HORA_4","HORA_5","HORA_6","HORA_7","HORA_8","HORA_9","HORA_10","HORA_11","HORA_12","HORA_13","HORA_14","HORA_15","HORA_16","HORA_17","HORA_18","HORA_19","HORA_20","HORA_21","HORA_22","HORA_23","HORA_24","TOTAL","FECHA","TIPO_FECHA","FILE_TYPE"
110,469000,448000,435000,425000,422000,424000,405000,409000,441000,458000,475000,492000,479000,489000,509000,507000,49900,492000,543000,580000,585000,581000,550000,50400,10718300,20-APR-11,"0","txf"
111,481000,46000,444000,430000,424000,417000,404000,394000,391000,387000,39100,403000,408000,412000,414000,411000,406000,411000,48400,535000,54600,546000,522000,488000,8916100,21-APR-11,"2","txf"
112,463000,443000,428000,414000,408000,401000,390000,380000,377000,373000,377000,388000,393000,397000,399000,396000,391000,396000,466000,516000,526000,526000,503000,470000,10221000,22-APR-11,"2","txf"
113,450000,43300,419000,408000,40500,399000,388000,389000,404000,418000,428000,44000,440000,441000,442000,439000,431000,430000,499000,544000,542000,539000,521000,493000,9591800,23-APR-11,"1","txf"
114,491000,469000,45300,439000,433000,425000,413000,403000,399000,395000,400000,411000,417000,42100,423000,420000,415000,420000,49400,547000,55700,557000,533000,498000,9100500,24-APR-11,"2","txf"
115,477000,456000,44.3,432000,430000,432000,413000,417000,449000,466000,484000,501000,488000,498000,518000,517000,508000,501000,553000,591000,59600,591000,560000,514000,10855644.3,25-APR-11,"0","txf"
116,472000,451000,438000,428000,425000,427000,408000,412000,444000,461000,479000,496000,483000,492000,512000,511000,502000,495000,547000,58400,589000,585000,554000,508000,11177400,26-APR-11,"0","txf"
117,485000,464000,450000,440000,437000,439000,419000,424000,457000,474000,492000,510000,496000,506000,527000,525000,516000,50900,562000,601000,60600,601000,569000,522000,11027500,27-APR-11,"0","txf"
118,474000,453000,440000,430000,427000,429000,410000,414000,446000,463000,481000,498000,485000,495000,515000,513000,505000,497000,549000,58700,592000,587000,556000,510000,11227700,28-APR-11,"0","txf"
119,490000,469000,455000,444000,442000,44400,424000,428000,462000,479000,498000,515000,502000,512000,532000,531000,522000,514000,568000,607000,612000,608000,576000,528000,11762400,29-APR-11,"0","txf"
